block_id,route_id,trip_headsign,service_id,shape_id,trip_id,trip_id_
b_2152818,52-114,52 CROSSTOWN TO BURNSIDE,2012_08A-1208BRsa-Saturday-01,520278,6527329-2012_08A-1208BRsa-Saturday-01,6527329
a_2151224,22-121,22 ARMDALE TO MUMFORD,2012_05M-1205BRsu-Sunday-02,220008,6519048-2012_05M-1205BRsu-Sunday-02,6519048
a_2150682,84-121,84 DOWNTOWN EXPRESS TO SU,2012_05M-1205BRwd-Weekday-02,840072,6510872-2012_05M-1205BRwd-Weekday-02,6510872
a_2151227,22-121,22 ARMDALE TO EXHIBITION ,2012_05M-1205BRsu-Sunday-02,220034,6519055-2012_05M-1205BRsu-Sunday-02,6519055
a_2150678,68-121,68 PORTLAND ST TO BRIDGE ,2012_05M-1205BRwd-Weekday-02,680093,6512214-2012_05M-1205BRwd-Weekday-02,6512214
a_2150763,56-121,56 PORTLAND HILLS,2012_05M-1205BRwd-Weekday-02,560023,6511703-2012_05M-1205BRwd-Weekday-02,6511703
a_1968470,FerD-116,FERRY TO HALIFAX,2012_05M-12MferWD-Weekday-00,FerD0004,5807928-2012_05M-12MferWD-Weekday-00,5807928
b_2153037,56-114,56 DARTMOUTH CROSSING,2012_08A-1208BRsu-Sunday-01,560024,6530110-2012_08A-1208BRsu-Sunday-01,6530110
b_2153026,8-114,8 WATERFRONT TO SCOTIA SQ,2012_08A-1208BRsu-Sunday-01,80018,6530704-2012_08A-1208BRsu-Sunday-01,6530704
a_2150399,ecs-121,SPECIAL,2012_05M-1205BRwd-Weekday-02,ecs0017,6511651-2012_05M-1205BRwd-Weekday-02,6511651
a_2151214,7-121,7 GOTTINGEN,2012_05M-1205BRsu-Sunday-02,70029,6517918-2012_05M-1205BRsu-Sunday-02,6517918
b_2152360,7-114,7 GOTTINGEN,2012_08A-1208BRwd-Weekday-01,70029,6522335-2012_08A-1208BRwd-Weekday-01,6522335
a_2151226,52-121,52 CROSSTOWN TO BAYERS LA,2012_05M-1205BRsu-Sunday-02,520289,6518905-2012_05M-1205BRsu-Sunday-02,6518905
a_2151228,53-121,53 NOTTING PARK TO BRIDGE,2012_05M-1205BRsu-Sunday-02,530039,6518247-2012_05M-1205BRsu-Sunday-02,6518247
b_2153054,90-114,90 WATER ST TERM'L VIA UN,2012_08A-1208BRsu-Sunday-01,900029,6530754-2012_08A-1208BRsu-Sunday-01,6530754
b_2153049,21-114,21 LACEWOOD,2012_08A-1208BRsu-Sunday-01,210083,6530055-2012_08A-1208BRsu-Sunday-01,6530055
a_2151036,16-121,16 BRIDGE TERMINAL,2012_05M-1205BRsa-Saturday-02,160043,6516684-2012_05M-1205BRsa-Saturday-02,6516684
a_2151066,72-121,72 DARTMOUTH CROSSING VIA,2012_05M-1205BRsa-Saturday-02,720026,6517156-2012_05M-1205BRsa-Saturday-02,6517156
a_2150620,4-121,4 FARNHAM GATE VIA ROSEDA,2012_05M-1205BRwd-Weekday-02,40022,6510921-2012_05M-1205BRwd-Weekday-02,6510921
b_2152378,10-114,10 DALHOUSIE,2012_08A-1208BRwd-Weekday-01,100234,6523994-2012_08A-1208BRwd-Weekday-01,6523994
b_2152812,4-114,4 FARNHAM GATE VIA ROSEDA,2012_08A-1208BRsa-Saturday-01,40022,6527028-2012_08A-1208BRsa-Saturday-01,6527028
a_2151040,51-121,51WINDMILL TO OCEAN BREEZ,2012_05M-1205BRsa-Saturday-02,510039,6517421-2012_05M-1205BRsa-Saturday-02,6517421
b_2153073,6-114,6 MUMFORD,2012_08A-1208BRsu-Sunday-01,60020,6529427-2012_08A-1208BRsu-Sunday-01,6529427
b_2152439,32-114,32 COWIE HILL EXPRESS TO ,2012_08A-1208BRwd-Weekday-01,320013,6524709-2012_08A-1208BRwd-Weekday-01,6524709
b_2153029,80-114,80 HALIFAX,2012_08A-1208BRsu-Sunday-01,800064,6529827-2012_08A-1208BRsu-Sunday-01,6529827
a_2150477,57-121,57 PORTLAND HILLS VIA POR,2012_05M-1205BRwd-Weekday-02,570065,6513701-2012_05M-1205BRwd-Weekday-02,6513701
a_2150996,10-121,10 WESTPHAL,2012_05M-1205BRsa-Saturday-02,100141,6515841-2012_05M-1205BRsa-Saturday-02,6515841
b_2152440,60-114,60 HERITAGE HILLS,2012_08A-1208BRwd-Weekday-01,600096,6522617-2012_08A-1208BRwd-Weekday-01,6522617
a_2150678,23-121,23 TIMBERLEA,2012_05M-1205BRwd-Weekday-02,230057,6511743-2012_05M-1205BRwd-Weekday-02,6511743
b_2152791,7-114,7 ROBIE,2012_08A-1208BRsa-Saturday-01,70028,6527606-2012_08A-1208BRsa-Saturday-01,6527606
b_2152794,58-114,58 BRIDGE TERMINAL,2012_08A-1208BRsa-Saturday-01,580059,6527004-2012_08A-1208BRsa-Saturday-01,6527004
a_2150690,7-121,7 ROBIE,2012_05M-1205BRwd-Weekday-02,70028,6511075-2012_05M-1205BRwd-Weekday-02,6511075
a_2150466,7-121,7 GOTTINGEN,2012_05M-1205BRwd-Weekday-02,70029,6511094-2012_05M-1205BRwd-Weekday-02,6511094
b_2152322,15-114,15 PURCELL'S COVE,2012_08A-1208BRwd-Weekday-01,150023,6523270-2012_08A-1208BRwd-Weekday-01,6523270
b_2152201,32-114,32 COWIE HILL EXPRESS TO ,2012_08A-1208BRwd-Weekday-01,320025,6524714-2012_08A-1208BRwd-Weekday-01,6524714
a_2150760,57-121,57 WOODSIDE VIA BAKER DR,2012_05M-1205BRwd-Weekday-02,570064,6513658-2012_05M-1205BRwd-Weekday-02,6513658
b_2152800,7-114,7 GOTTINGEN,2012_08A-1208BRsa-Saturday-01,70029,6527561-2012_08A-1208BRsa-Saturday-01,6527561
a_2151225,8-121,8 WATERFRONT TO SCOTIA SQ,2012_05M-1205BRsu-Sunday-02,80018,6519397-2012_05M-1205BRsu-Sunday-02,6519397
